0;1601;1608;1602;1604;1601;1601;1601;1596;1605;1601;1601;1597;1597;1601;1602;1595;1597;
1601;0;3;3;3;3;2;2;4;2;3;2;3;3;3;3;16;3;
1608;3;0;2;2;4;3;3;5;3;4;3;4;4;4;4;17;4;
1602;3;2;0;2;4;3;3;5;3;4;3;4;4;4;4;17;4;
1604;3;2;2;0;4;3;3;5;3;4;3;4;4;4;4;17;4;
1601;3;4;4;4;0;3;3;5;3;4;3;4;4;4;4;17;4;
1601;2;3;3;3;3;0;2;4;2;3;2;3;3;3;3;16;3;
1601;2;3;3;3;3;2;0;4;2;3;2;3;3;3;3;16;3;
1596;4;5;5;5;5;4;4;0;4;5;4;5;5;5;5;18;5;
1605;2;3;3;3;3;2;2;4;0;3;2;3;3;3;3;16;3;
1601;3;4;4;4;4;3;3;5;3;0;3;4;4;4;4;17;4;
1601;2;3;3;3;3;2;2;4;2;3;0;3;3;3;3;16;3;
1597;3;4;4;4;4;3;3;5;3;4;3;0;2;4;4;15;4;
1597;3;4;4;4;4;3;3;5;3;4;3;2;0;4;4;15;4;
1601;3;4;4;4;4;3;3;5;3;4;3;4;4;0;4;17;4;
1602;3;4;4;4;4;3;3;5;3;4;3;4;4;4;0;17;4;
1595;16;17;17;17;17;16;16;18;16;17;16;15;15;17;17;0;17;
1597;3;4;4;4;4;3;3;5;3;4;3;4;4;4;4;17;0;
